Date,风速(m/s),雨量(mm),大气温度(℃),雨量累计(mm),数字气压(hPa),简易总辐射(W/m²),风向(°),辐射累计(MJ/m²),大气湿度(%RH),25cm,75cm,125cm,175cm,225cm
2024-05-03 00:00:00,0.8,0.0,20.15,3.7,1015.6,0.0,89.5,6.81,63.2,22.08914575,21.66693918,21.51838411,21.27440659,20.35536598
2024-05-03 00:10:00,1.0,0.0,20.0,0.0,1015.7,0.0,66.0,0.0,62.7,22.10744817,21.67298552,21.5178837,21.24051023,20.36082637
2024-05-03 00:20:00,0.3,0.0,20.0,0.0,1015.6,0.0,34.0,0.0,63.3,22.1109819,21.66869735,21.5071364,21.26228026,20.41736653
2024-05-03 00:30:00,2.0,0.0,20.0,0.0,1015.2,0.0,139.0,0.0,63.5,22.11555705,21.69319048,21.52350555,21.23847254,20.40691316
2024-05-03 00:40:00,0.9,0.0,20.0,0.0,1015.1,0.0,114.0,0.0,62.2,22.09747359,21.69553945,21.52145586,21.16201505,20.41628094
2024-05-03 00:50:00,1.7,0.0,19.9,0.0,1014.8,0.0,83.0,0.0,59.7,22.1100038,21.69335038,21.52065198,21.2314588,20.39761432
2024-05-03 01:00:00,2.4,0.0,20.0,0.0,1014.8,0.0,124.0,0.0,54.1,22.09101208,21.67213117,21.52410716,21.22477618,20.41081148
2024-05-03 01:10:00,1.1,0.0,20.0,0.0,1014.7,0.0,71.0,0.0,53.6,22.08879352,21.69106215,21.51375811,21.24496094,20.35550679
2024-05-03 01:20:00,1.8,0.0,19.9,0.0,1014.4,0.0,107.0,0.0,52.1,22.09009731,21.68457839,21.51440221,21.23967051,20.38489414
2024-05-03 01:30:00,1.3,0.0,19.8,0.0,1014.1,0.0,64.0,0.0,53.0,22.06774657,21.69294787,21.53123105,21.19863583,20.42475727
2024-05-03 01:40:00,3.2,0.0,19.8,0.0,1013.7,0.0,135.0,0.0,50.8,22.04546515,21.66823989,21.52421897,21.18919444,20.41653146
2024-05-03 01:50:00,0.9,0.0,19.9,0.0,1013.8,0.0,155.0,0.0,51.3,22.01923991,21.67396666,21.52304237,21.20279773,20.39183833
2024-05-03 02:00:00,1.0,0.0,19.6,0.0,1014.1,0.0,32.0,0.0,54.7,21.99316505,21.66238142,21.53584228,21.11268469,20.41805025
2024-05-03 02:10:00,0.6,0.0,19.6,0.0,1014.0,0.0,27.0,0.0,51.7,21.97355017,21.70179834,21.50781238,21.1555144,20.40170004
2024-05-03 02:20:00,0.0,0.0,19.6,0.0,1014.0,0.0,226.0,0.0,53.9,21.96120407,21.6882006,21.52496966,21.1778312,20.39484367
2024-05-03 02:30:00,0.9,0.0,19.5,0.0,1014.0,0.0,151.0,0.0,54.8,21.94522836,21.67671174,21.51163952,21.16731453,20.44336248
2024-05-03 02:40:00,0.0,0.0,19.4,0.0,1014.1,0.0,349.0,0.0,56.3,21.92654331,21.69222555,21.51983745,21.17281022,20.45277118
2024-05-03 02:50:00,0.0,0.0,19.2,0.0,1014.2,0.0,302.0,0.0,54.4,21.91925098,21.69129373,21.5147642,21.1558777,20.48127047
2024-05-03 03:00:00,1.2,0.0,18.9,0.0,1014.2,0.0,211.0,0.0,56.0,21.9026909,21.69069273,21.51808067,21.16664368,20.42982576
2024-05-03 03:10:00,0.6,0.0,18.9,0.0,1014.0,0.0,29.0,0.0,60.1,21.89349699,21.68553216,21.5125125,21.18842265,20.40476316
2024-05-03 03:20:00,1.3,0.0,19.3,0.0,1013.6,0.0,97.0,0.0,54.2,21.88062308,21.67888916,21.52062536,21.13787776,20.42288864
2024-05-03 03:30:00,1.4,0.0,19.3,0.0,1013.4,0.0,78.0,0.0,54.7,21.8586504,21.70120826,21.52212134,21.14138115,20.47737386
2024-05-03 03:40:00,1.0,0.0,19.3,0.0,1013.2,0.0,80.0,0.0,54.8,21.84005351,21.69145914,21.51284785,21.14886924,20.42508611
2024-05-03 03:50:00,0.0,0.0,19.1,0.0,1013.7,0.0,151.0,0.0,60.5,21.82119367,21.79523826,21.51728747,21.06550893,20.43142833
2024-05-03 04:00:00,0.0,0.0,19.0,0.0,1013.9,0.0,69.0,0.0,59.9,21.80998674,21.77354539,21.5142159,21.14257135,20.46376335
2024-05-03 04:10:00,0.0,0.0,18.8,0.0,1013.7,0.0,330.0,0.0,60.0,21.80723108,21.71297778,21.51998651,21.14638799,20.43588124
