profile_label,target_time,delta_T_C,depth_m,temperature_C
Winter mixed,2024-12-26 06:00:00,0.009731433526,0.25,7.191723881973
Winter mixed,2024-12-26 06:00:00,0.009731433526,0.75,7.236773311779
Winter mixed,2024-12-26 06:00:00,0.009731433526,1.25,7.187058642652
Winter mixed,2024-12-26 06:00:00,0.009731433526,1.75,7.187247308678
Winter mixed,2024-12-26 06:00:00,0.009731433526,2.25,7.181992448448
Spring persistent,2024-05-28 05:20:00,5.884345350509,0.25,28.145625587426
Spring persistent,2024-05-28 05:20:00,5.884345350509,0.75,28.142132325882
Spring persistent,2024-05-28 05:20:00,5.884345350509,1.25,28.002972616294
Spring persistent,2024-05-28 05:20:00,5.884345350509,1.75,24.138145091777
Spring persistent,2024-05-28 05:20:00,5.884345350509,2.25,22.261280236917
Summer diel (day),2024-08-18 15:00:00,1.559381278358,0.25,34.348387153439
Summer diel (day),2024-08-18 15:00:00,1.559381278358,0.75,33.658648412631
Summer diel (day),2024-08-18 15:00:00,1.559381278358,1.25,33.430881930643
Summer diel (day),2024-08-18 15:00:00,1.559381278358,1.75,33.201420262303
Summer diel (day),2024-08-18 15:00:00,1.559381278358,2.25,32.789005875081
Summer diel (night),2024-08-19 02:10:00,0.185345439841,0.25,32.970750196547
Summer diel (night),2024-08-19 02:10:00,0.185345439841,0.75,32.972007953825
Summer diel (night),2024-08-19 02:10:00,0.185345439841,1.25,32.967451440379
Summer diel (night),2024-08-19 02:10:00,0.185345439841,1.75,32.964107976099
Summer diel (night),2024-08-19 02:10:00,0.185345439841,2.25,32.785404756706
Autumn decay,2024-10-25 15:00:00,1.270053023258,0.25,21.155860569335
Autumn decay,2024-10-25 15:00:00,1.270053023258,0.75,20.910956722024
Autumn decay,2024-10-25 15:00:00,1.270053023258,1.25,19.958961648528
Autumn decay,2024-10-25 15:00:00,1.270053023258,1.75,19.887864477571
Autumn decay,2024-10-25 15:00:00,1.270053023258,2.25,19.885807546078
