k_concrete_W_m_K,L_concrete_m,DeltaT_K,q_cond_W_m2,q_required_W_m2,q_cond_over_q_required,Scenario_status,Source
1.0,0.15,1,6.666666666666667,30.81508819950782,0.21634423447060416,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.15,2,13.333333333333334,30.81508819950782,0.4326884689412083,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.15,3,20.0,30.81508819950782,0.6490327034118124,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.15,5,33.333333333333336,30.81508819950782,1.081721172353021,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.15,8,53.333333333333336,30.81508819950782,1.7307538757648333,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.15,10,66.66666666666667,30.81508819950782,2.163442344706042,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.15,1,10.0,30.81508819950782,0.3245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.15,2,20.0,30.81508819950782,0.6490327034118124,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.15,3,30.0,30.81508819950782,0.9735490551177186,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.15,5,50.0,30.81508819950782,1.622581758529531,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.15,8,80.0,30.81508819950782,2.5961308136472496,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.15,10,100.0,30.81508819950782,3.245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.15,1,13.333333333333334,30.81508819950782,0.4326884689412083,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.15,2,26.666666666666668,30.81508819950782,0.8653769378824167,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.15,3,40.0,30.81508819950782,1.2980654068236248,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.15,5,66.66666666666667,30.81508819950782,2.163442344706042,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.15,8,106.66666666666667,30.81508819950782,3.4615077515296666,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.15,10,133.33333333333334,30.81508819950782,4.326884689412084,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.15,1,16.666666666666668,30.81508819950782,0.5408605861765104,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.15,2,33.333333333333336,30.81508819950782,1.081721172353021,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.15,3,50.0,30.81508819950782,1.622581758529531,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.15,5,83.33333333333334,30.81508819950782,2.704302930882552,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.15,8,133.33333333333334,30.81508819950782,4.326884689412084,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.15,10,166.66666666666669,30.81508819950782,5.408605861765104,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.2,1,5.0,30.81508819950782,0.1622581758529531,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.2,2,10.0,30.81508819950782,0.3245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.2,3,15.0,30.81508819950782,0.4867745275588593,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.2,5,25.0,30.81508819950782,0.8112908792647655,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.2,8,40.0,30.81508819950782,1.2980654068236248,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.2,10,50.0,30.81508819950782,1.622581758529531,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.2,1,7.5,30.81508819950782,0.24338726377942965,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.2,2,15.0,30.81508819950782,0.4867745275588593,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.2,3,22.5,30.81508819950782,0.730161791338289,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.2,5,37.5,30.81508819950782,1.2169363188971483,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.2,8,60.0,30.81508819950782,1.9470981102354372,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.2,10,75.0,30.81508819950782,2.4338726377942965,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.2,1,10.0,30.81508819950782,0.3245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.2,2,20.0,30.81508819950782,0.6490327034118124,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.2,3,30.0,30.81508819950782,0.9735490551177186,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.2,5,50.0,30.81508819950782,1.622581758529531,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
