k_concrete_W_m_K,L_concrete_m,Slab_k_over_L_W_m2_K,DeltaT_needed_for_q_required_K,q_at_1K_W_m2,q_at_3K_W_m2,q_at_5K_W_m2,q_at_10K_W_m2,Interpretation
1.0,0.15,6.666666666666667,4.622263229926173,6.666666666666667,20.0,33.333333333333336,66.66666666666667,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
1.5,0.15,10.0,3.081508819950782,10.0,30.0,50.0,100.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
2.0,0.15,13.333333333333334,2.3111316149630863,13.333333333333334,40.0,66.66666666666667,133.33333333333334,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
2.5,0.15,16.666666666666668,1.848905291970469,16.666666666666668,50.0,83.33333333333334,166.66666666666669,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
1.0,0.2,5.0,6.163017639901564,5.0,15.0,25.0,50.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
1.5,0.2,7.5,4.108678426601043,7.5,22.5,37.5,75.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
2.0,0.2,10.0,3.081508819950782,10.0,30.0,50.0,100.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
2.5,0.2,12.5,2.4652070559606254,12.5,37.5,62.5,125.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
1.0,0.25,4.0,7.703772049876955,4.0,12.0,20.0,40.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
1.5,0.25,6.0,5.135848033251303,6.0,18.0,30.0,60.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
2.0,0.25,8.0,3.8518860249384774,8.0,24.0,40.0,80.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
2.5,0.25,10.0,3.081508819950782,10.0,30.0,50.0,100.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
1.0,0.3,3.3333333333333335,9.244526459852345,3.3333333333333335,10.0,16.666666666666668,33.333333333333336,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
1.5,0.3,5.0,6.163017639901564,5.0,15.0,25.0,50.0,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
2.0,0.3,6.666666666666667,4.622263229926173,6.666666666666667,20.0,33.333333333333336,66.66666666666667,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
2.5,0.3,8.333333333333334,3.697810583940938,8.333333333333334,25.0,41.66666666666667,83.33333333333334,"1-D concrete-only scale; excludes water-side, soil-side, and transient resistances"
