Metric,albedo,emissivity,CE,CH,rso_scale,cloud_scale,wind_exponent,Qsw,Qlw,Qe,Qh,Qnet,Residual_W_m2
Spring,0.05,0.96,0.00104,0.00104,0.9,0.8,0.125,142.00070818854812,-35.85232428444425,-19.605968578859187,0.9258437597667397,87.46825908501141,
Spring,0.05,0.96,0.00104,0.00104,0.9,0.8,0.16666666666666666,142.00070818854812,-35.85232428444425,-20.965829635109166,0.9900598615122271,86.17261413050691,
Spring,0.05,0.96,0.00104,0.00104,0.9,1.2,0.125,142.00070818854812,-15.801557983197483,-19.605968578859187,0.9258437597667397,107.51902538625818,
Spring,0.05,0.96,0.00104,0.00104,0.9,1.2,0.16666666666666666,142.00070818854812,-15.801557983197483,-20.965829635109166,0.9900598615122271,106.22338043175368,
Spring,0.05,0.96,0.00104,0.00104,1.1,0.8,0.125,142.00070818854812,-33.28534220182149,-19.605968578859187,0.9258437597667397,90.03524116763417,
Spring,0.05,0.96,0.00104,0.00104,1.1,0.8,0.16666666666666666,142.00070818854812,-33.28534220182149,-20.965829635109166,0.9900598615122271,88.73959621312967,
Spring,0.05,0.96,0.00104,0.00104,1.1,1.2,0.125,142.00070818854812,-11.814855339771839,-19.605968578859187,0.9258437597667397,111.50572802968382,
Spring,0.05,0.96,0.00104,0.00104,1.1,1.2,0.16666666666666666,142.00070818854812,-11.814855339771839,-20.965829635109166,0.9900598615122271,110.21008307517933,
Spring,0.05,0.96,0.00104,0.00156,0.9,0.8,0.125,142.00070818854812,-35.85232428444425,-19.605968578859187,1.3887656396501098,87.93118096489478,
Spring,0.05,0.96,0.00104,0.00156,0.9,0.8,0.16666666666666666,142.00070818854812,-35.85232428444425,-20.965829635109166,1.4850897922683408,86.66764406126303,
Spring,0.05,0.96,0.00104,0.00156,0.9,1.2,0.125,142.00070818854812,-15.801557983197483,-19.605968578859187,1.3887656396501098,107.98194726614155,
Spring,0.05,0.96,0.00104,0.00156,0.9,1.2,0.16666666666666666,142.00070818854812,-15.801557983197483,-20.965829635109166,1.4850897922683408,106.7184103625098,
Spring,0.05,0.96,0.00104,0.00156,1.1,0.8,0.125,142.00070818854812,-33.28534220182149,-19.605968578859187,1.3887656396501098,90.49816304751754,
Spring,0.05,0.96,0.00104,0.00156,1.1,0.8,0.16666666666666666,142.00070818854812,-33.28534220182149,-20.965829635109166,1.4850897922683408,89.23462614388579,
Spring,0.05,0.96,0.00104,0.00156,1.1,1.2,0.125,142.00070818854812,-11.814855339771839,-19.605968578859187,1.3887656396501098,111.96864990956719,
Spring,0.05,0.96,0.00104,0.00156,1.1,1.2,0.16666666666666666,142.00070818854812,-11.814855339771839,-20.965829635109166,1.4850897922683408,110.70511300593544,
Spring,0.05,0.96,0.00156,0.00104,0.9,0.8,0.125,142.00070818854812,-35.85232428444425,-29.408952868288786,0.9258437597667397,77.66527479558181,
Spring,0.05,0.96,0.00156,0.00104,0.9,0.8,0.16666666666666666,142.00070818854812,-35.85232428444425,-31.448744452663757,0.9900598615122271,75.68969931295233,
Spring,0.05,0.96,0.00156,0.00104,0.9,1.2,0.125,142.00070818854812,-15.801557983197483,-29.408952868288786,0.9258437597667397,97.71604109682858,
Spring,0.05,0.96,0.00156,0.00104,0.9,1.2,0.16666666666666666,142.00070818854812,-15.801557983197483,-31.448744452663757,0.9900598615122271,95.7404656141991,
Spring,0.05,0.96,0.00156,0.00104,1.1,0.8,0.125,142.00070818854812,-33.28534220182149,-29.408952868288786,0.9258437597667397,80.23225687820457,
Spring,0.05,0.96,0.00156,0.00104,1.1,0.8,0.16666666666666666,142.00070818854812,-33.28534220182149,-31.448744452663757,0.9900598615122271,78.25668139557509,
Spring,0.05,0.96,0.00156,0.00104,1.1,1.2,0.125,142.00070818854812,-11.814855339771839,-29.408952868288786,0.9258437597667397,101.70274374025422,
Spring,0.05,0.96,0.00156,0.00104,1.1,1.2,0.16666666666666666,142.00070818854812,-11.814855339771839,-31.448744452663757,0.9900598615122271,99.72716825762474,
Spring,0.05,0.96,0.00156,0.00156,0.9,0.8,0.125,142.00070818854812,-35.85232428444425,-29.408952868288786,1.3887656396501098,78.12819667546518,
Spring,0.05,0.96,0.00156,0.00156,0.9,0.8,0.16666666666666666,142.00070818854812,-35.85232428444425,-31.448744452663757,1.4850897922683408,76.18472924370845,
Spring,0.05,0.96,0.00156,0.00156,0.9,1.2,0.125,142.00070818854812,-15.801557983197483,-29.408952868288786,1.3887656396501098,98.17896297671194,
Spring,0.05,0.96,0.00156,0.00156,0.9,1.2,0.16666666666666666,142.00070818854812,-15.801557983197483,-31.448744452663757,1.4850897922683408,96.23549554495521,
Spring,0.05,0.96,0.00156,0.00156,1.1,0.8,0.125,142.00070818854812,-33.28534220182149,-29.408952868288786,1.3887656396501098,80.69517875808793,
Spring,0.05,0.96,0.00156,0.00156,1.1,0.8,0.16666666666666666,142.00070818854812,-33.28534220182149,-31.448744452663757,1.4850897922683408,78.7517113263312,
Spring,0.05,0.96,0.00156,0.00156,1.1,1.2,0.125,142.00070818854812,-11.814855339771839,-29.408952868288786,1.3887656396501098,102.16566562013759,
Spring,0.05,0.96,0.00156,0.00156,1.1,1.2,0.16666666666666666,142.00070818854812,-11.814855339771839,-31.448744452663757,1.4850897922683408,100.22219818838086,
Spring,0.05,0.99,0.00104,0.00104,0.9,0.8,0.125,142.00070818854812,-48.512554365178346,-19.605968578859187,0.9258437597667397,74.80802900427732,
Spring,0.05,0.99,0.00104,0.00104,0.9,0.8,0.16666666666666666,142.00070818854812,-48.512554365178346,-20.965829635109166,0.9900598615122271,73.51238404977282,
Spring,0.05,0.99,0.00104,0.00104,0.9,1.2,0.125,142.00070818854812,-28.46178806393158,-19.605968578859187,0.9258437597667397,94.85879530552408,
Spring,0.05,0.99,0.00104,0.00104,0.9,1.2,0.16666666666666666,142.00070818854812,-28.46178806393158,-20.965829635109166,0.9900598615122271,93.56315035101959,
Spring,0.05,0.99,0.00104,0.00104,1.1,0.8,0.125,142.00070818854812,-45.94557228255559,-19.605968578859187,0.9258437597667397,77.37501108690007,
Spring,0.05,0.99,0.00104,0.00104,1.1,0.8,0.16666666666666666,142.00070818854812,-45.94557228255559,-20.965829635109166,0.9900598615122271,76.07936613239558,
Spring,0.05,0.99,0.00104,0.00104,1.1,1.2,0.125,142.00070818854812,-24.475085420505934,-19.605968578859187,0.9258437597667397,98.84549794894973,
Spring,0.05,0.99,0.00104,0.00104,1.1,1.2,0.16666666666666666,142.00070818854812,-24.475085420505934,-20.965829635109166,0.9900598615122271,97.54985299444523,
Spring,0.05,0.99,0.00104,0.00156,0.9,0.8,0.125,142.00070818854812,-48.512554365178346,-19.605968578859187,1.3887656396501098,75.27095088416068,
Spring,0.05,0.99,0.00104,0.00156,0.9,0.8,0.16666666666666666,142.00070818854812,-48.512554365178346,-20.965829635109166,1.4850897922683408,74.00741398052894,
Spring,0.05,0.99,0.00104,0.00156,0.9,1.2,0.125,142.00070818854812,-28.46178806393158,-19.605968578859187,1.3887656396501098,95.32171718540745,
Spring,0.05,0.99,0.00104,0.00156,0.9,1.2,0.16666666666666666,142.00070818854812,-28.46178806393158,-20.965829635109166,1.4850897922683408,94.0581802817757,
Spring,0.05,0.99,0.00104,0.00156,1.1,0.8,0.125,142.00070818854812,-45.94557228255559,-19.605968578859187,1.3887656396501098,77.83793296678344,
Spring,0.05,0.99,0.00104,0.00156,1.1,0.8,0.16666666666666666,142.00070818854812,-45.94557228255559,-20.965829635109166,1.4850897922683408,76.5743960631517,
Spring,0.05,0.99,0.00104,0.00156,1.1,1.2,0.125,142.00070818854812,-24.475085420505934,-19.605968578859187,1.3887656396501098,99.3084198288331,
Spring,0.05,0.99,0.00104,0.00156,1.1,1.2,0.16666666666666666,142.00070818854812,-24.475085420505934,-20.965829635109166,1.4850897922683408,98.04488292520135,
Spring,0.05,0.99,0.00156,0.00104,0.9,0.8,0.125,142.00070818854812,-48.512554365178346,-29.408952868288786,0.9258437597667397,65.00504471484771,
Spring,0.05,0.99,0.00156,0.00104,0.9,0.8,0.16666666666666666,142.00070818854812,-48.512554365178346,-31.448744452663757,0.9900598615122271,63.02946923221824,
Spring,0.05,0.99,0.00156,0.00104,0.9,1.2,0.125,142.00070818854812,-28.46178806393158,-29.408952868288786,0.9258437597667397,85.05581101609448,
Spring,0.05,0.99,0.00156,0.00104,0.9,1.2,0.16666666666666666,142.00070818854812,-28.46178806393158,-31.448744452663757,0.9900598615122271,83.080235533465,
Spring,0.05,0.99,0.00156,0.00104,1.1,0.8,0.125,142.00070818854812,-45.94557228255559,-29.408952868288786,0.9258437597667397,67.57202679747047,
Spring,0.05,0.99,0.00156,0.00104,1.1,0.8,0.16666666666666666,142.00070818854812,-45.94557228255559,-31.448744452663757,0.9900598615122271,65.59645131484099,
Spring,0.05,0.99,0.00156,0.00104,1.1,1.2,0.125,142.00070818854812,-24.475085420505934,-29.408952868288786,0.9258437597667397,89.04251365952013,
Spring,0.05,0.99,0.00156,0.00104,1.1,1.2,0.16666666666666666,142.00070818854812,-24.475085420505934,-31.448744452663757,0.9900598615122271,87.06693817689064,
Spring,0.05,0.99,0.00156,0.00156,0.9,0.8,0.125,142.00070818854812,-48.512554365178346,-29.408952868288786,1.3887656396501098,65.46796659473108,
Spring,0.05,0.99,0.00156,0.00156,0.9,0.8,0.16666666666666666,142.00070818854812,-48.512554365178346,-31.448744452663757,1.4850897922683408,63.52449916297435,
Spring,0.05,0.99,0.00156,0.00156,0.9,1.2,0.125,142.00070818854812,-28.46178806393158,-29.408952868288786,1.3887656396501098,85.51873289597785,
