Scenario_ID,Parameter,Case,Season,Mean_Qnet_W_m2,Change_W_m2,Change_percent_of_baseline_season,Mean_Qsw_W_m2,Mean_Qlw_W_m2,Mean_Qe_W_m2,Mean_Qh_W_m2
BASE,Baseline,baseline,Spring,89.62688704978221,0.0,0.0,139.011219595105,-25.353357411434864,-25.222023297874475,1.1910481639865593
BASE,Baseline,baseline,Summer,91.4077389716214,0.0,0.0,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.29381022546050783
BASE,Baseline,baseline,Autumn,33.43922136555992,0.0,0.0,107.51940371531228,-35.338975411306826,-35.83551350356578,-2.9056934348797494
BASE,Baseline,baseline,Winter,-5.380042084127552,0.0,0.0,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.534814937259523
ALB_0.05,Water albedo,low,Spring,92.61637564322534,2.9894885934431272,3.3354818981748755,142.00070818854812,-25.353357411434864,-25.222023297874475,1.1910481639865593
ALB_0.05,Water albedo,low,Summer,94.65305855457697,3.245319582955574,3.550377265061902,154.15268019038982,-8.848507776770349,-50.35730363358201,-0.29381022546050783
ALB_0.05,Water albedo,low,Autumn,35.75146660674944,2.3122452411895154,6.9147699819678445,109.83164895650178,-35.338975411306826,-35.83551350356578,-2.9056934348797494
ALB_0.05,Water albedo,low,Winter,-3.9739302098906766,1.406111874236875,26.13570400100124,66.79031402625152,-57.81933927596285,-11.41009002291982,-1.534814937259523
ALB_0.07,Water albedo,baseline,Spring,89.6268870497822,-1.4210854715202004e-14,-1.5855571004389286e-14,139.011219595105,-25.353357411434864,-25.222023297874475,1.1910481639865593
ALB_0.07,Water albedo,baseline,Summer,91.4077389716214,0.0,0.0,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.29381022546050783
ALB_0.07,Water albedo,baseline,Autumn,33.43922136555992,0.0,0.0,107.51940371531228,-35.338975411306826,-35.83551350356578,-2.9056934348797494
ALB_0.07,Water albedo,baseline,Winter,-5.380042084127551,8.881784197001252e-16,1.6508763422510584e-14,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.534814937259523
ALB_0.10,Water albedo,high,Spring,85.14265415961755,-4.484232890164662,-5.003222847262282,134.52698670494033,-25.353357411434864,-25.222023297874475,1.1910481639865593
ALB_0.10,Water albedo,high,Summer,86.53975959718805,-4.867979374433347,-5.325565897592837,146.0393812330009,-8.848507776770349,-50.35730363358201,-0.29381022546050783
ALB_0.10,Water albedo,high,Autumn,29.97085350377566,-3.4683678617842624,-10.372154972951735,104.05103585352802,-35.338975411306826,-35.83551350356578,-2.9056934348797494
ALB_0.10,Water albedo,high,Winter,-7.489209895482857,-2.109167811355306,-39.20355600150174,63.275034340659346,-57.81933927596285,-11.41009002291982,-1.534814937259523
EMIS_0.96,Water emissivity,low,Spring,93.84696374336025,4.2200766935780365,4.70849410538385,139.011219595105,-21.133280717856824,-25.222023297874475,1.1910481639865593
EMIS_0.96,Water emissivity,low,Summer,96.2944043762187,4.886665404597295,5.346008401011229,150.90736060743427,-3.9618423721730416,-50.35730363358201,-0.29381022546050783
EMIS_0.96,Water emissivity,low,Autumn,37.854340280782694,4.41511891522277,13.203414239094801,107.51940371531228,-30.92385649608406,-35.83551350356578,-2.9056934348797494
EMIS_0.96,Water emissivity,low,Winter,-1.8385724953210363,3.5414695888065153,65.82605736960167,65.38420215201465,-54.27786968715635,-11.41009002291982,-1.534814937259523
EMIS_0.97,Water emissivity,baseline,Spring,89.62688704978221,0.0,0.0,139.011219595105,-25.353357411434864,-25.222023297874475,1.1910481639865593
EMIS_0.97,Water emissivity,baseline,Summer,91.4077389716214,0.0,0.0,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.29381022546050783
EMIS_0.97,Water emissivity,baseline,Autumn,33.43922136555992,0.0,0.0,107.51940371531228,-35.338975411306826,-35.83551350356578,-2.9056934348797494
EMIS_0.97,Water emissivity,baseline,Winter,-5.380042084127549,2.6645352591003757e-15,4.952629026753175e-14,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.534814937259523
EMIS_0.99,Water emissivity,high,Spring,81.18673366262614,-8.440153387156073,-9.4169882107677,139.011219595105,-33.79351079859094,-25.222023297874475,1.1910481639865593
EMIS_0.99,Water emissivity,high,Summer,81.63440816242678,-9.773330809194618,-10.692016802022488,150.90736060743427,-18.621838585964966,-50.35730363358201,-0.29381022546050783
EMIS_0.99,Water emissivity,high,Autumn,24.608983535114387,-8.830237830445537,-26.406828478189592,107.51940371531228,-44.16921324175236,-35.83551350356578,-2.9056934348797494
EMIS_0.99,Water emissivity,high,Winter,-12.462981261740575,-7.0829391776130235,-131.6521147392032,65.38420215201465,-64.90227845357589,-11.41009002291982,-1.534814937259523
CE_-20,Latent transfer coefficient CE,-20%,Spring,94.67129170935712,5.044404659574909,5.628227003770702,139.011219595105,-25.353357411434864,-20.177618638299577,1.1910481639865593
CE_-20,Latent transfer coefficient CE,-20%,Summer,101.47919969833778,10.071460726716381,11.018170715111095,150.90736060743427,-8.848507776770349,-40.28584290686562,-0.29381022546050783
CE_-20,Latent transfer coefficient CE,-20%,Autumn,40.60632406627309,7.167102700713166,21.433222449655435,107.51940371531228,-35.338975411306826,-28.668410802852623,-2.9056934348797494
CE_-20,Latent transfer coefficient CE,-20%,Winter,-3.0980240795435834,2.282018004583968,42.41635974031659,65.38420215201465,-57.81933927596285,-9.128072018335853,-1.534814937259523
CE_-10,Latent transfer coefficient CE,-10%,Spring,92.14908937956966,2.522202329787447,2.814113501885343,139.011219595105,-25.353357411434864,-22.69982096808703,1.1910481639865593
CE_-10,Latent transfer coefficient CE,-10%,Summer,96.44346933497958,5.035730363358184,5.5090853575555405,150.90736060743427,-8.848507776770349,-45.32157327022382,-0.29381022546050783
CE_-10,Latent transfer coefficient CE,-10%,Autumn,37.0227727159165,3.5835513503565792,10.716611224827705,107.51940371531228,-35.338975411306826,-32.251962153209206,-2.9056934348797494
CE_-10,Latent transfer coefficient CE,-10%,Winter,-4.239033081835568,1.1410090022919839,21.20817987015829,65.38420215201465,-57.81933927596285,-10.269081020627835,-1.534814937259523
CE_+0,Latent transfer coefficient CE,+0%,Spring,89.62688704978221,0.0,0.0,139.011219595105,-25.353357411434864,-25.222023297874475,1.1910481639865593
CE_+0,Latent transfer coefficient CE,+0%,Summer,91.4077389716214,0.0,0.0,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.29381022546050783
CE_+0,Latent transfer coefficient CE,+0%,Autumn,33.43922136555992,0.0,0.0,107.51940371531228,-35.338975411306826,-35.83551350356578,-2.9056934348797494
CE_+0,Latent transfer coefficient CE,+0%,Winter,-5.380042084127549,2.6645352591003757e-15,4.952629026753175e-14,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.534814937259523
CE_+10,Latent transfer coefficient CE,+10%,Spring,87.10468471999478,-2.522202329787433,-2.814113501885327,139.011219595105,-25.353357411434864,-27.744225627661926,1.1910481639865593
CE_+10,Latent transfer coefficient CE,+10%,Summer,86.37200860826319,-5.035730363358212,-5.509085357555571,150.90736060743427,-8.848507776770349,-55.393033996940225,-0.29381022546050783
CE_+10,Latent transfer coefficient CE,+10%,Autumn,29.85567001520334,-3.583551350356583,-10.716611224827718,107.51940371531228,-35.338975411306826,-39.419064853922364,-2.9056934348797494
CE_+10,Latent transfer coefficient CE,+10%,Winter,-6.521051086419534,-1.141009002291982,-21.208179870158254,65.38420215201465,-57.81933927596285,-12.551099025211803,-1.534814937259523
CE_+20,Latent transfer coefficient CE,+20%,Spring,84.58248239020732,-5.044404659574894,-5.628227003770686,139.011219595105,-25.353357411434864,-30.26642795744937,1.1910481639865593
CE_+20,Latent transfer coefficient CE,+20%,Summer,81.33627824490499,-10.07146072671641,-11.018170715111127,150.90736060743427,-8.848507776770349,-60.428764360298416,-0.29381022546050783
CE_+20,Latent transfer coefficient CE,+20%,Autumn,26.272118664846765,-7.1671027007131585,-21.43322244965541,107.51940371531228,-35.338975411306826,-43.00261620427894,-2.9056934348797494
CE_+20,Latent transfer coefficient CE,+20%,Winter,-7.662060088711511,-2.2820180045839598,-42.41635974031643,65.38420215201465,-57.81933927596285,-13.692108027503782,-1.534814937259523
CH_-20,Sensible transfer coefficient CH,-20%,Spring,89.3886774169849,-0.23820963279730734,-0.26577921050074693,139.011219595105,-25.353357411434864,-25.222023297874475,0.9528385311892474
CH_-20,Sensible transfer coefficient CH,-20%,Summer,91.46650101671348,0.05876204509208094,0.06428563462260488,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.23504818036840613
CH_-20,Sensible transfer coefficient CH,-20%,Autumn,34.02036005253588,0.5811386869759545,1.737895391232067,107.51940371531228,-35.338975411306826,-35.83551350356578,-2.3245547479038
CH_-20,Sensible transfer coefficient CH,-20%,Winter,-5.073079096675646,0.30696298745190553,5.705587106047402,65.38420215201465,-57.81933927596285,-11.41009002291982,-1.2278519498076181
CH_-10,Sensible transfer coefficient CH,-10%,Spring,89.50778223338357,-0.11910481639864656,-0.13288960525036553,139.011219595105,-25.353357411434864,-25.222023297874475,1.0719433475879039
CH_-10,Sensible transfer coefficient CH,-10%,Summer,91.43711999416743,0.029381022546033364,0.03214281731129467,150.90736060743427,-8.848507776770349,-50.35730363358201,-0.2644292029144569
